"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"1";"S127417_1H0V0";"Praha";"Kladno";"R";1;3;4459;"RegularGame";34,3381759268929;1
"2";"S127417_1H1V0";"Kladno";"Praha";"R";2;1;4449;"RegularGame";36,928840872093;NA
"3";"S127417_1H1V1";"Praha";"Kladno";"S";6;2;4526;"RegularGame";34,4789826530612;0
"4";"S127417_1H1V2";"Praha";"Kladno";"S";6;2;4526;"RegularGame";34,4789826530612;0,4850044
"5";"S127417_1H1V3";"Praha";"Kladno";"R";6;2;4526;"RegularGame";34,4789826530612;1
"6";"S127417_1H2V3";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3687095
"7";"S127417_1H3V3";"Kladno";"Praha";"R";1;6;4344;"RegularGame";37,6329701977401;0,4597174
"8";"S127417_1H3V4";"Praha";"Kladno";"R";5;1;4355;"RegularGame";33,3609808196721;1
"9";"S127417_1H4V4";"Kladno";"Praha";"R";6;5;4445;"RegularGame";34,9852440199335;1
"10";"S127417_1H4V5";"Praha";"Kladno";"R";4;6;4525;"RegularGame";38,5759974166667;NA
"11";"S127417_1H5V5";"Kladno";"Praha";"R";5;4;4437;"RegularGame";32,8818041071428;0,575266
"12";"S127417_1H5V6";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0
"13";"S127417_1H5V7";"Praha";"Kladno";"R";3;5;4357;"RegularGame";31,3603344041451;1
"14";"S127417_1H6V7";"Kladno";"Praha";"R";4;3;4318;"RegularGame";35,6473187586207;NA
"15";"S127417_1H6V8";"Praha";"Kladno";"R";2;4;4523;"RegularGame";32,8783827433628;NA
"16";"S127417_1H7V8";"Kladno";"Praha";"S";3;2;4443;"RegularGame";35,4042121759259;0,4775763
"17";"S127417_1H8V8";"Kladno";"Praha";"R";3;2;4443;"RegularGame";35,4042121759259;1
"18";"S127417_1H8V9";"Praha";"Kladno";"S";1;3;4459;"RegularGame";34,3381759268929;0,4128309
"19";"S127417_1H8V10";"Praha";"Kladno";"S";1;3;4459;"RegularGame";34,3381759268929;0
"20";"S127417_1H8V11";"Praha";"Kladno";"R";1;3;4459;"RegularGame";34,3381759268929;0,4164149
"21";"S127417_1H9V11";"Kladno";"Praha";"R";2;1;4449;"RegularGame";36,928840872093;1
"22";"S127417_1H9V12";"Praha";"Kladno";"R";6;2;4526;"RegularGame";34,4789826530612;1
"23";"S127417_1H10V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0
"24";"S127417_1H11V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0
"25";"S127417_1H12V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3687095
"26";"S127417_1H13V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,3694937
"27";"S127417_1H14V12";"Kladno";"Praha";"S";1;6;4344;"RegularGame";37,6329701977401;0,2142572
"28";"S127417_1H15V12";"Kladno";"Praha";"R";1;6;4344;"RegularGame";37,6329701977401;0,646903
"29";"S127417_1H15V13";"Praha";"Kladno";"S";5;1;4355;"RegularGame";33,3609808196721;0
"30";"S127417_1H15V14";"Praha";"Kladno";"R";5;1;4355;"RegularGame";33,3609808196721;0,4164149
"31";"S127417_1H16V14";"Kladno";"Praha";"R";6;5;4445;"RegularGame";34,9852440199335;1
"32";"S127417_1H16V15";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0,4850044
"33";"S127417_1H16V16";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0
"34";"S127417_1H16V17";"Praha";"Kladno";"S";4;6;4525;"RegularGame";38,5759974166667;0,3687095
"35";"S127417_1H16V18";"Praha";"Kladno";"R";4;6;4525;"RegularGame";38,5759974166667;1
"36";"S127417_1H17V18";"Kladno";"Praha";"R";5;4;4437;"RegularGame";32,8818041071428;NA
"37";"S127417_1H17V19";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,4588627
"38";"S127417_1H17V20";"Praha";"Kladno";"S";3;5;4357;"LosingInTightEndgame";31,3603344041451;0,3753631
"39";"S127417_1H17V21";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0
"40";"S127417_1H17V22";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,575266
"41";"S127417_1H17V23";"Praha";"Kladno";"S";3;5;4357;"RegularGame";31,3603344041451;0,2025275
"42";"S127417_1H17V24";"Praha";"Kladno";"R";3;5;4357;"RegularGame";31,3603344041451;NA
"43";"S127417_1H18V24";"Kladno";"Praha";"S";4;3;4318;"RegularGame";35,6473187586207;0
"44";"S127417_1H19V24";"Kladno";"Praha";"R";4;3;4318;"RegularGame";35,6473187586207;1
"45";"S127417_2H0V0";"Kladno";"Praha";"S";2;2;4449;"RegularGame";36,928840872093;0
"46";"S127417_2H1V0";"Kladno";"Praha";"S";2;2;4449;"RegularGame";36,928840872093;0
"47";"S127417_2H2V0";"Kladno";"Praha";"R";2;2;4449;"RegularGame";36,928840872093;NA
"48";"S127417_2H2V1";"Praha";"Kladno";"R";1;2;4459;"RegularGame";34,3381759268929;1
"49";"S127417_2H3V1";"Kladno";"Praha";"S";1;1;4344;"RegularGame";37,6329701977401;0
"50";"S127417_2H4V1";"Kladno";"Praha";"R";1;1;4344;"RegularGame";37,6329701977401;NA
"51";"S127417_2H4V2";"Praha";"Kladno";"S";6;1;4311;"RegularGame";31,5676785534591;0,6773472
"52";"S127417_2H4V3";"Praha";"Kladno";"R";6;1;4311;"RegularGame";31,5676785534591;NA
"53";"S127417_2H5V3";"Kladno";"Praha";"S";6;6;4445;"RegularGame";34,9852440199335;0,4164149
"54";"S127417_2H6V3";"Kladno";"Praha";"R";6;6;4445;"RegularGame";34,9852440199335;NA
"55";"S127417_2H6V4";"Praha";"Kladno";"S";5;6;4355;"RegularGame";33,3609808196721;0
